timestamp,open,high,low,close,volume,Principal Component 1,Principal Component 2
2015/5/26,132.6,132.91,129.12,129.62,70697560,-2.585636076,-0.839016552
2015/5/27,130.34,132.26,130.05,132.045,45833246,-2.585636076,-0.839016552
2015/5/28,131.86,131.95,131.1,131.78,30733309,-2.585636076,-0.839016552
2015/5/29,131.23,131.45,129.9,130.28,50884452,-2.585636076,-0.839016552
2015/6/1,131.2,131.39,130.05,130.535,32112797,-2.585636076,-0.839016552
2015/6/2,129.86,130.655,129.32,129.96,33667627,-2.585636076,-0.839016552
2015/6/3,130.66,130.94,129.9,130.12,30983542,-2.585636076,-0.839016552
2015/6/4,129.58,130.58,128.91,129.36,38450118,-2.585636076,-0.839016552
2015/6/5,129.5,129.69,128.36,128.65,35626800,-2.585636076,-0.839016552
2015/6/8,128.9,129.21,126.83,127.8,52674786,-2.585636076,-0.839016552
2015/6/9,126.7,128.08,125.62,127.42,56075420,-2.585636076,-0.839016552
2015/6/10,127.92,129.34,127.85,128.88,39087250,-2.585636076,-0.839016552
2015/6/11,129.18,130.18,128.475,128.59,35390887,-2.585636076,-0.839016552
2015/6/12,128.185,128.33,127.11,127.17,36886246,-2.585636076,-0.839016552
2015/6/15,126.1,127.24,125.71,126.92,43988946,-2.585636076,-0.839016552
2015/6/16,127.03,127.85,126.37,127.6,31494131,-2.585636076,-0.839016552
2015/6/17,127.72,127.88,126.74,127.3,32918071,-2.585636076,-0.839016552
2015/6/18,127.23,128.31,127.22,127.88,35407220,-2.585636076,-0.839016552
2015/6/19,127.71,127.82,126.4,126.6,54716887,-2.585636076,-0.839016552
2015/6/22,127.49,128.06,127.08,127.61,34039345,-2.585636076,-0.839016552
2015/6/23,127.48,127.61,126.8792,127.03,30268863,-2.585636076,-0.839016552
2015/6/24,127.21,129.8,127.12,128.11,55280855,-2.585636076,-0.839016552
2015/6/25,128.86,129.2,127.5,127.5,31938100,-2.585636076,-0.839016552
2015/6/26,127.67,127.99,126.51,126.75,44066841,-2.585636076,-0.839016552
2015/6/29,125.46,126.47,124.48,124.53,49161427,-2.542121944,-1.389795294
2015/6/30,125.57,126.12,124.86,125.425,44370682,-2.542121944,-1.389795294
2015/7/1,126.9,126.94,125.99,126.6,30238811,-2.542121944,-1.389795294
2015/7/2,126.43,126.69,125.77,126.44,27210952,-2.542121944,-1.389795294
2015/7/6,124.94,126.23,124.85,126.0,28060431,-2.542121944,-1.389795294
2015/7/7,125.89,126.15,123.77,125.69,46946811,-2.542121944,-1.389795294
2015/7/8,124.48,124.64,122.54,122.57,60761614,-2.542121944,-1.389795294
2015/7/9,123.85,124.06,119.22,120.07,78595038,-2.542121944,-1.389795294
2015/7/10,121.94,123.85,121.21,123.28,61354474,-2.542121944,-1.389795294
2015/7/13,125.03,125.755,124.32,125.66,41440538,-2.542121944,-1.389795294
2015/7/14,126.04,126.37,125.04,125.61,31768139,-2.542121944,-1.389795294
2015/7/15,125.72,127.15,125.58,126.82,33649200,-2.542121944,-1.389795294
2015/7/16,127.74,128.57,127.35,128.51,36222447,-2.542121944,-1.389795294
2015/7/17,129.08,129.62,128.31,129.62,46164710,-2.542121944,-1.389795294
2015/7/20,130.97,132.97,130.7,132.07,58900203,-2.542121944,-1.389795294
